,Bias / V,STS,error,site
2100,0.33489167,1.1997029540205177,0.015625221313483227,UnfaultedMiddle
2101,0.35164513999999997,1.2051688995539755,0.01545650179920987,UnfaultedMiddle
2102,0.36749255000000003,1.2019353224671703,0.01797167702171401,UnfaultedMiddle
2103,0.38735101,1.202963612960561,0.01854186789306619,UnfaultedMiddle
2104,0.40403972999999993,1.1952504641543404,0.019332192446989645,UnfaultedMiddle
2105,0.42023176000000007,1.194232429541505,0.021561653295833424,UnfaultedMiddle
2106,0.44013428,1.1904945857490454,0.023971551339500876,UnfaultedMiddle
2107,0.45730605999999996,1.1720855319295667,0.02520945111657632,UnfaultedMiddle
2108,0.47318769000000005,1.1516021969170396,0.028604378364494806,UnfaultedMiddle
2109,0.49262704,1.1426266099339486,0.030980730085290155,UnfaultedMiddle
2110,0.5104848399999999,1.1290081843001052,0.03397316016492693,UnfaultedMiddle
2111,0.5267078300000001,1.1076034878668504,0.034998653704420936,UnfaultedMiddle
2112,0.5436694099999999,1.0831437511082291,0.03602626595241916,UnfaultedMiddle
2113,0.56314723,1.074721317243749,0.03600113979616073,UnfaultedMiddle
2114,0.5795827200000001,1.0684982876158944,0.03527686642066203,UnfaultedMiddle
2115,0.59597767,1.058072592672957,0.03429358145665273,UnfaultedMiddle
2116,0.6161128400000001,1.0470502588731065,0.03284162569967188,UnfaultedMiddle
2117,0.6326652700000001,1.0317276166307798,0.031262055190064114,UnfaultedMiddle
2118,0.64888591,1.019918208310848,0.03288092949593032,UnfaultedMiddle
2119,0.66897466,1.0052883205730765,0.03329331589863053,UnfaultedMiddle
2120,0.6860132200000001,0.9854663495977191,0.036687525969211016,UnfaultedMiddle
2121,0.7020820699999999,0.9590136519587995,0.03975801495623576,UnfaultedMiddle
2122,0.7213388599999999,0.9374571323706762,0.04455156261759405,UnfaultedMiddle
2123,0.7387602,0.9139356329804634,0.04949341441140148,UnfaultedMiddle
2124,0.75450613,0.8859197152062956,0.051502268516688474,UnfaultedMiddle
2125,0.77398173,0.8645430861759748,0.056060602742599504,UnfaultedMiddle
